_id,cultivarName,accessionNumber,link,maturity,leafColor,downyMildew,verticilliumWilt,viruses,vigor,yield,sidearmLength,alphaAcids,alphaAcidsHigh,alphaAcidsLow,alphaAcidsAverage,betaAcids,betaAcidsHigh,betaAcidsLow,betaAcidsAverage,cohumulone,cohumuloneHigh,cohumuloneLow,cohumuloneAverage,oil,oilLow,oilHigh,oilAverage,H/CRatio,H/CRatioLow,H/CRatioHigh,H/CRatioAverage,humulene,humuleneHigh,humuleneLow,humuleneAverage,caryophylleneOriginal,caryophyllene,myrceneOriginal,myrcene,farneseneOriginal,farnesene
6708457e1540d082ce0716c3,Brewer's Gold,19001,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/19001.html,Late,Light green,moderately resistant,resistant,Viruses: infected with all five major hop viruses,"Excellent, occasionally uneven spring regrowth","High, 1500-2400 lbs/acre",24-36 inches,9.2% (10 year range: 7.1 to 11.3%),11.3,7.1,9.2,4.8% (10 year range: 3.3 to 6.1%),6.1,3.3,4.7,39 (10 year range: 36 - 45),45,39,42,1.96 ml/100 g (10 year range: 1.38 to 3.42),1.96,,1.96,H/C ratio = 1.73,1.73,,1.73,Humulene 11.3%,11.3,,11.3,Caryophyllene 6.5%,6.5,myrcene 66.7%,66.7,farnesene: none,0.0
6708457e1540d082ce07168e,Fuggle,19209,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/19209.html,Early,Dark green,resistant,moderately susceptible,"Viruses: carries the Apple and Cherry strain of Prunus Necrotic Ringspot virus, sometimes also Hop Mosaic virus",Low to medium,"Low, 900-1100 lbs/acre",12-20 inches,5.1% (13 year average; range 2.4 to 6.1),6.1,2.4,4.3,2.4% (13 year average; range 2.1 to 2.8),2.8,2.1,2.5,27% (range 25-29%),29,25,27,0.60 ml/100 g (7 year range: 0.44 to 0.83 ml/100 g). Humulene 26.6% Caryophyllene 9.1%; myrcene 43.4%; farnesene 4.3%. H/C ratio =2.94,0.60,,0.60,H/C ratio =2.94,2.94,,2.94,Humulene 26.6%,26.6,,26.6,Caryophyllene 9.1%,9.1,myrcene 43.4%,43.4,farnesene 4.3%,4.3
6708457e1540d082ce071694,Fuggle tetraploid,21003,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21003.html,early,dark green,resistant,moderately susceptible,Viruses: unknown,poor,low (less than 1000 lbs/acre),12 - 20 inches,5% (5 year range: 3.7 to 5.8),5.8,3.7,4.8,2.4% (5 year range: 2.0 to 3.0),3.0,2.0,2.5,26%,26,26,26,0.93 ml/100 g (5 year range: 0.47 - 1.17),0.93,,0.93,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716e7,Late Cluster selection L16,21011,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21011.html,Late,Moderately dark green,susceptible,resistant,unknown,Very good,"1,800-2,200 lbs/acre",15-36 inches,5.8% (10-year range 4.8-6.4%),6.4,4.8,5.6,4.2% (10-year range 3.9-4.7%),4.7,3.9,4.3,39%,39,39,39,0.5 ml/ 100 g,0.50,,0.50,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716af,Hallertauer mittlefrueh,21014,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21014.html,Early,Light green,moderately susceptible,very susceptible,Viruses: unknown,Poor to good,Low (about 800 lbs/acre),12 inches,3-5%,5.0,3.0,4.0,4.40%,4.4,4.4,4.4,20%,20,20,20,0.8 ml/100 g,0.80,,0.80,H/C ratio = 3.42,3.42,,3.42,Humulene 35.7%,35.7,,35.7,caryophyllene 10.4%,10.4,myrcene 36.0%,36.0,farnesene trace,
6708457e1540d082ce0716a0,Golden Star,21039,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21039.html,Late,Light green,resistant,,"Viruses: infected with Prunus Necrotic Ringspot Virus (both apple and cherry strains), Hop Latent Virus, American Hop Latent Virus, but free of Hop Mosaic Virus",Very good,"High, 1600-2000 lbs/acre",20-36 inches,5.4% (5-year range 4.4-6.7%),6.7,4.4,5.6,4.6 (5-year range 3.8-5.5%),5.5,3.8,4.7,50%,50,50,50,0.63 ml/100 g (5-year range 0.45-1.0 ml). Humulene 12.5%; Caryophyllene 5.2%; myrcene 57.1%; no farnesene. H/C ratio = 2.43,0.63,,0.63,H/C ratio = 2.43,2.43,,2.43,Humulene 12.5%,12.5,,12.5,Caryophyllene 5.2%,5.2,myrcene 57.1%,57.1,no farnesene,0.0
6708457e1540d082ce0716fe,Columbia,21040,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21040.html,Medium late,Dark green,resistant,resistant,Viruses: free of Prunus Necrotic Ringspot virus (cherry and apple strain) and hop mosaic virus,Excellent,"Very good, 1800 to 2200 lbs per acre",24-40 inches,8.80%,8.8,8.8,8.8,4.00%,4.0,4.0,4.0,40%,40,40,40,1.21 ml/100 g,1.21,,1.21,H/C ratio = 2.26,2.26,,2.26,Humulene 16.7%,16.7,,16.7,Caryophyllene 7.3%,7.3,myrcene 54.6%,54.6,farnesene 4.1%,4.1
6708457e1540d082ce071706,Willamette,21041,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21041.html,Medium,Dark green,resistant,tolerant to moderately susceptible,"Viruses: free of Prunus, Apple and Hop Mosaic Virus",Excellent,"Very good, 1700-2200 lbs/acre",24-40 inches,6.6% (10 year range: 5.2 to 11.1),11.1,5.2,8.2,3.8% (10 year range: 2.9 to 5.0),5.0,2.9,4.0,29-35%,35,29,32,0.8-1.2 ml/100 g,1.20,0.80,1.00,H/C ratio = 2.89,2.89,,2.89,Humulene 21.2%,21.2,,21.2,caryophyllene 7.4%,7.4,myrcene 51.0%,51.0,farnesene 5.0%,5.0
6708457e1540d082ce07170b,Wye Challenger,21043,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21043.html,Medium to medium late,Dark green,resistant,resistant,Viruses: unknown,Good to very good,Substantially better than Northern Brewer (USDA [64107](64107.html)). Variable yield performance over a 10-year period in small plots near Corvallis (800-1600 lbs/acre),12-20 inches,7.9% (10-year range 6.2-9.8%),9.8,6.2,8.0,4.6% (10-year range 3.6-5.9%),5.9,3.6,4.8,23%,23,23,23,1.35 ml/100 g (10-year range 0.60-1.90 ml/100 g). Humulene 16.4%; caryophyllene 5.5%; myrcene 55.1%; farnesene 0.6%. H/C ratio = 2.99,1.35,,1.35,H/C ratio = 2.99,2.99,,2.99,Humulene 16.4%,16.4,,16.4,caryophyllene 5.5%,5.5,myrcene 55.1%,55.1,farnesene 0.6%,0.6
6708457e1540d082ce07170e,Wye Northdown,21044,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21044.html,Medium late,Dark green,resistant,resistant,Viruses: unknown,Good to very good but variable in USDA test plots near Corvallis,,12-24 inches,8.3% (10-year range 6.2-9.8%),9.8,6.2,8.0,4.6% (lO-year range 3.6-5.9%),5.9,3.6,4.8,23%,23,23,23,1.35 ml/100 g (lO-year range 0.6-1.90),1.35,,1.35,,,,,unknown,,,,unknown,,unknown,,,
6708457e1540d082ce0716b6,Serebrianka,21045,https://www.ars.usda.gov/ARSUserFiles/2450/hopcultivars/21045.html,early,dark green,moderately resistant,,Viruses: no information,poor,very poor,6 - 12 inches,3 - 4 %,4.0,3.0,3.5,3 %,3.0,3.0,3.0,23 %,23,23,23,0.41 ml/100 g,0.41,,0.41,H/C ratio = 3.30,3.30,,3.30,Humulene 27%,27.0,,27.0,caryophyllene 8 %,8.0,myrcene 30%,30.0,farnesene 12%,12.0
